"Attribute","Glyph","Ruler Function"
":attr:`.arrowShaftThickness`","U+EB60",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.barlineSeparation`","U+E031",":func:`~.rulers.xDistanceBetweenContours`"
":attr:`.beamSpacing`","U+E1F9",":func:`~.rulers.yDistanceBetweenContours`"
":attr:`.beamThickness`","U+E1F7",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.bracketThickness`","U+E003",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.dashedBarlineDashLength`","U+E036",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.dashedBarlineGapLength`","U+E036",":func:`~.rulers.yDistanceBetweenContours`"
":attr:`.dashedBarlineThickness`","U+E036",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.hairpinThickness`","U+E53E",":func:`~.rulers.wedgeArmStrokeWidth`"
":attr:`.hBarThickness`","U+E4F0",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.legerLineExtension`","U+E022",":func:`~.rulers.glyphBoundsXMinAbs`"
":attr:`.legerLineThickness`","U+E022",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.lyricLineThickness`","U+E010",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.octaveLineThickness`","U+E010",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.pedalLineThickness`","U+E010",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.repeatBarlineDotSeparation`","U+E040",":func:`~.rulers.xDistanceStemToDot`"
":attr:`.repeatEndingLineThickness`","U+E030",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.slurEndpointThickness`","U+E1FD",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.slurMidpointThickness`","U+E1FD",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.staffLineThickness`","U+E010",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.stemThickness`","U+E210",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.subBracketThickness`","U+E030",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.textEnclosureThickness`","U+E010",":func:`~.rulers.glyphBoundsHeight`"
":attr:`.textFontFamily`","",""
":attr:`.thickBarlineThickness`","U+E034",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.thinBarlineThickness`","U+E030",":func:`~.rulers.glyphBoundsWidth`"
":attr:`.thinThickBarlineSeparation`","U+E032",":func:`~.rulers.xDistanceBetweenContours`"
":attr:`.tieEndpointThickness`","U+E1FD",":func:`~.rulers.xStrokeWidthAtOrigin`"
":attr:`.tieMidpointThickness`","U+E1FD",":func:`~.rulers.yStrokeWidthAtMinimum`"
":attr:`.tupletBracketThickness`","U+E1FE",":func:`~.rulers.xStrokeWidthAtOrigin`"
